time,x,y,z,vx,vy,vz,radius,in_late_averaging_window
1.230000000000000071e+01,9.311806543803229363e-01,2.975423174316485508e-01,2.318511730380098113e-01,3.665230527354419454e-01,3.462945569929558320e-02,1.273229171309025846e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.240000000000000036e+01,9.621617062177303392e-01,3.044872423194200928e-01,2.282073634898441339e-01,3.177610601817806857e-01,8.007066166117506045e-02,-9.559091289570723071e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.250000000000000000e+01,9.968931132129223993e-01,3.106026177892953211e-01,2.184276670174879198e-01,3.839609094756939456e-01,6.095325274494112211e-02,-8.545868465883504905e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.260000000000000142e+01,6.710585250925321654e-02,3.694437482625863578e-01,1.086542708432105819e-01,5.496709726899581261e-01,3.830698325593275277e-01,-7.989411925130043279e-01,5.000000000000000278e-02,1.000000000000000000e+00
1.270000000000000107e+01,9.943583772302283519e-02,3.921775369559224456e-01,1.244353773964338578e-01,2.716389200159702866e-01,1.895121409468592810e-01,2.811389538661619447e-01,5.000000000000000278e-02,1.000000000000000000e+00
1.280000000000000071e+01,1.290502184728168356e-01,4.093165479942322826e-01,1.511961117854314085e-01,3.060160001072841918e-01,1.360855999349489531e-01,2.298547301689698452e-01,5.000000000000000278e-02,1.000000000000000000e+00
1.290000000000000036e+01,1.594700934166206618e-01,4.209760219340549225e-01,1.704328517361484996e-01,3.158203779761583618e-01,1.016113115707325126e-01,1.501505143015703925e-01,5.000000000000000278e-02,1.000000000000000000e+00
1.300000000000000000e+01,1.933932907196363460e-01,4.310983048032697162e-01,1.863366884176471394e-01,3.476460991128511591e-01,6.650925259184434224e-02,1.363978999812873738e-01,5.000000000000000278e-02,1.000000000000000000e+00
1.310000000000000142e+01,2.278633541302761412e-01,4.369557468571010905e-01,1.979358614595274624e-01,3.334256285132866093e-01,5.324434307497105667e-02,1.056152901314238030e-01,5.000000000000000278e-02,1.000000000000000000e+00
1.320000000000000107e+01,2.602408220522125504e-01,4.412927691750702652e-01,2.029735450122952256e-01,3.428068252901811941e-01,4.489733345670388065e-02,3.880529443223038055e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.330000000000000071e+01,2.952797131095830085e-01,4.453539775809999823e-01,2.063116837581194796e-01,3.430146853520898986e-01,3.353004477428463831e-02,3.888810810632934573e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.340000000000000036e+01,3.279062267815214815e-01,4.488900136424970877e-01,2.099413507856341954e-01,2.716752368766711667e-01,2.628046743941810093e-02,1.514882461735349642e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.350000000000000000e+01,3.548882454985646806e-01,4.513425796292641623e-01,2.109258973931170955e-01,2.367613223152179591e-01,1.125799186172287379e-02,1.886188870587272165e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.360000000000000142e+01,3.826313603752325987e-01,4.519609005075505559e-01,2.124299014466251301e-01,2.972140533517169114e-01,-4.146239960425322953e-03,1.471130488295308708e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.370000000000000107e+01,4.119664182389237705e-01,4.504546964747203619e-01,2.147589236954726977e-01,2.786578149090960244e-01,-1.907907114856155842e-02,4.153591699966463491e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.380000000000000071e+01,4.407684638467772587e-01,4.482243127329887389e-01,2.178022068612441575e-01,2.742187762526208661e-01,-1.419981278008981829e-02,2.174936269159409574e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.390000000000000036e+01,4.665488537190020657e-01,4.461567223585380937e-01,2.192000596191586159e-01,2.515265594222343415e-01,-5.475468418733770576e-03,4.953565383340748085e-03,5.000000000000000278e-02,1.000000000000000000e+00
1.400000000000000000e+01,4.899819054942852747e-01,4.450857453114350770e-01,2.197777592935431512e-01,2.470070500295835081e-01,-9.937761337556111352e-03,1.210764296687951748e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.410000000000000142e+01,5.180845679053708297e-01,4.439001864696965893e-01,2.206305503268196355e-01,2.864987545494311338e-01,-6.096114304143633589e-03,1.428826629938071725e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.420000000000000107e+01,5.445643058865272668e-01,4.447465187632244632e-01,2.217814177182553526e-01,2.663676955507631727e-01,1.787869473739300136e-02,4.411980425477226610e-03,5.000000000000000278e-02,1.000000000000000000e+00
1.430000000000000071e+01,5.691694206519999355e-01,4.450239972844611813e-01,2.232202929652384038e-01,2.191264378799292756e-01,-8.712890694934567401e-03,3.469504174638302074e-02,5.000000000000000278e-02,1.000000000000000000e+00
